date,1. open,2. high,3. low,4. close,5. volume,change,pct_change,prev_close,turnover
2023-09-15,277.55,278.98,271.0,274.39,133692313.0,9.110000000000014,3.434107358262972,265.28,36683833764.07
2023-09-14,271.32,276.7094,270.42,276.04,107709842.0,1.650000000000034,0.6013338678523494,274.39,29732224785.68
2023-09-13,270.07,274.98,268.1,271.3,111673737.0,-4.740000000000009,-1.7171424431241866,276.04,30297084848.100002
2023-09-12,270.76,278.39,266.6,267.48,135999866.0,-3.819999999999993,-1.408035385182449,271.3,36377244157.68
2023-09-11,264.27,274.85,260.61,273.58,174667852.0,6.099999999999966,2.2805443397637015,267.48,47785630950.159996
2023-09-08,251.22,256.52,246.67,248.5,118559635.0,-25.079999999999984,-9.167336793625259,273.58,29462069297.5
2023-09-07,245.07,252.81,243.265,251.49,115312886.0,2.990000000000009,1.2032193158953763,248.5,29000037700.14
2023-09-06,255.135,255.39,245.06,251.92,116959759.0,0.4299999999999784,0.17098095351701925,251.49,29464502487.28
2023-09-05,245.0,258.0,244.86,256.49,129469565.0,4.570000000000022,1.814067958081944,251.92,33207648726.850002
2023-09-01,257.26,259.0794,242.01,245.01,132541640.0,-11.480000000000018,-4.47580802370463,256.49,32474027216.399998
2023-08-31,255.98,261.18,255.05,258.08,108861698.0,13.069999999999993,5.3344761438308685,245.01,28095027019.84
2023-08-30,254.2,260.51,250.59,256.9,121988437.0,-1.1800000000000068,-0.45722256664599836,258.08,31338829465.299995
2023-08-29,238.58,257.48,237.77,257.18,134047603.0,0.28000000000002956,0.10899182561308063,256.9,34474362539.54
2023-08-28,242.58,244.38,235.35,238.82,107673727.0,-18.360000000000014,-7.138968815615532,257.18,25714639482.14
2023-08-25,231.31,239.0,230.35,238.59,106612231.0,-0.22999999999998977,-0.09630684197302619,238.82,25436612194.29
2023-08-24,238.66,238.92,228.1801,230.04,99777432.0,-8.550000000000011,-3.583553376084503,238.59,22952800457.28
2023-08-23,229.34,238.98,229.29,236.86,101077635.0,6.820000000000022,2.964701790992885,230.04,23941248626.100002
2023-08-22,240.25,240.82,229.55,233.19,130597886.0,-3.670000000000016,-1.5494384868698918,236.86,30454121036.34
2023-08-21,221.5512,232.1343,220.58,231.28,135702671.0,-1.9099999999999966,-0.8190745743814065,233.19,31385313748.88
2023-08-18,214.12,217.58,212.36,215.49,136276584.0,-15.789999999999992,-6.827222414389478,231.28,29366241086.16
2023-08-17,226.06,226.74,218.83,219.22,120718417.0,3.7299999999999898,1.730938790663128,215.49,26463891374.74
2023-08-16,228.02,233.97,225.38,225.6,112484520.0,6.3799999999999955,2.9103184016056938,219.22,25376507712.0
2023-08-15,238.73,240.5,232.61,232.96,88197599.0,7.360000000000014,3.2624113475177463,225.6,20546512663.04
2023-08-14,235.7,240.66,233.75,239.76,98595331.0,6.799999999999983,2.9189560439560447,232.96,23639216560.559998
2023-08-11,241.77,243.79,238.02,242.65,99038642.0,2.890000000000015,1.205372038705388,239.76,24031726481.3
2023-08-10,245.4,251.8,243.0,245.34,109498608.0,2.6899999999999977,1.1085926231197085,242.65,26864388486.72
